;mass A;;
t;x;y;
0,000000E0;−2,498346E−3;2,870035E−1
3,333333E−2;2,795131E−3;2,860712E−1
6,666667E−2;8,946566E−3;2,853044E−1
1,000000E−1;1,572788E−2;2,843640E−1
1,333333E−1;2,342588E−2;2,833151E−1
1,666667E−1;3,204637E−2;2,820910E−1
2,000000E−1;4,168396E−2;2,808130E−1
2,333333E−1;5,216621E−2;2,792859E−1
2,666667E−1;6,353361E−2;2,774710E−1
3,000000E−1;7,603635E−2;2,752590E−1
3,333333E−1;8,969611E−2;2,728055E−1
3,666667E−1;1,047572E−1;2,697331E−1
4,000000E−1;1,211166E−1;2,659079E−1
4,333333E−1;1,389618E−1;2,613605E−1
4,666667E−1;1,584265E−1;2,557993E−1
5,000000E−1;1,788564E−1;2,480376E−1
5,333333E−1;2,046234E−1;2,387018E−1
5,666667E−1;2,318842E−1;2,278721E−1
6,000000E−1;2,600536E−1;2,155509E−1
6,333333E−1;2,901401E−1;2,002379E−1
6,666667E−1;3,259899E−1;1,845536E−1
7,000000E−1;3,625865E−1;1,703631E−1
7,333333E−1;4,047847E−1;1,569194E−1
7,666667E−1;4,488501E−1;1,475836E−1
8,000000E−1;4,950079E−1;1,444193E−1
8,333333E−1;5,394680E−1;1,459013E−1
8,666667E−1;5,845208E−1;1,512365E−1
9,000000E−1;6,274989E−1;1,553861E−1
9,333333E−1;6,686986E−1;1,622033E−1
9,666667E−1;7,078182E−1;1,693676E−1
1,000000E0;7,450778E−1;1,770191E−1
1,033333E0;7,813393E−1;1,836726E−1
1,066667E0;8,156047E−1;1,879973E−1
1,100000E0;8,515336E−1;1,869993E−1
1,133333E0;8,848010E−1;1,840052E−1
1,166667E0;9,203972E−1;1,770191E−1
1,200000E0;9,576567E−1;1,697002E−1
1,233333E0;9,941464E−1;1,571645E−1
1,266667E0;1,035050E0;1,390840E−1
1,300000E0;1,074471E0;1,207072E−1
1,333333E0;1,115722E0;1,028264E−1
1,366667E0;1,167945E0;8,706529E−2
1,400000E0;1,218522E0;8,094903E−2
1,433333E0;1,269569E0;7,742041E−2
1,466667E0;1,318970E0;7,624421E−2
1,500000E0;1,374016E0;7,177463E−2
1,533333E0;1,425534E0;6,659933E−2
