;mass A;;
t;x;y;
0,000000E0;−1,825710E−3;3,040697E−1
3,333333E−2;3,634672E−3;3,035128E−1
6,666667E−2;9,653223E−3;3,026044E−1
1,000000E−1;1,664015E−2;3,017053E−1
1,333333E−1;2,467216E−2;3,006876E−1
1,666667E−1;3,356542E−2;2,994248E−1
2,000000E−1;4,323164E−2;2,980439E−1
2,333333E−1;5,306050E−2;2,963823E−1
2,666667E−1;6,388628E−2;2,945432E−1
3,000000E−1;7,578948E−2;2,923034E−1
3,333333E−1;8,892802E−2;2,894334E−1
3,666667E−1;1,035352E−1;2,862050E−1
4,000000E−1;1,191912E−1;2,824289E−1
4,333333E−1;1,365630E−1;2,776233E−1
4,666667E−1;1,554156E−1;2,716077E−1
5,000000E−1;1,772074E−1;2,645208E−1
5,333333E−1;1,994447E−1;2,543309E−1
5,666667E−1;2,248915E−1;2,427169E−1
6,000000E−1;2,529924E−1;2,293738E−1
6,333333E−1;2,837927E−1;2,145714E−1
6,666667E−1;3,176731E−1;1,991428E−1
7,000000E−1;3,549647E−1;1,828715E−1
7,333333E−1;3,951182E−1;1,702992E−1
7,666667E−1;4,382916E−1;1,623210E−1
8,000000E−1;4,834968E−1;1,589449E−1
8,333333E−1;5,277626E−1;1,596189E−1
8,666667E−1;5,710015E−1;1,625092E−1
9,000000E−1;6,145899E−1;1,675611E−1
9,333333E−1;6,554120E−1;1,735494E−1
9,666667E−1;6,950860E−1;1,799374E−1
1,000000E0;7,332008E−1;1,891158E−1
1,033333E0;7,700663E−1;1,915222E−1
1,066667E0;8,058644E−1;1,929308E−1
1,100000E0;8,417737E−1;1,914680E−1
1,133333E0;8,781398E−1;1,871052E−1
1,166667E0;9,160682E−1;1,800439E−1
1,200000E0;9,541495E−1;1,694083E−1
1,233333E0;9,932466E−1;1,541453E−1
1,266667E0;1,034329E0;1,349227E−1
1,300000E0;1,079191E0;1,140514E−1
1,333333E0;1,129357E0;9,569390E−2
1,366667E0;1,182514E0;8,421197E−2
1,400000E0;1,238223E0;7,698260E−2
1,433333E0;1,291805E0;7,485632E−2
1,466667E0;1,350065E0;7,102901E−2
