;mass A;;
t;x;y;
3,333333E−2;2,455332E−2;2,792787E−1
6,666667E−2;3,246526E−2;2,783654E−1
1,000000E−1;4,064223E−2;2,777930E−1
1,333333E−1;5,050603E−2;2,759901E−1
1,666667E−1;6,074878E−2;2,746345E−1
2,000000E−1;7,268488E−2;2,728182E−1
2,333333E−1;8,547396E−2;2,703518E−1
2,666667E−1;9,886001E−2;2,673026E−1
3,000000E−1;1,138978E−1;2,640867E−1
3,333333E−1;1,307847E−1;2,599484E−1
3,666667E−1;1,487811E−1;2,550787E−1
4,000000E−1;1,682376E−1;2,492747E−1
4,333333E−1;1,910435E−1;2,431634E−1
4,666667E−1;2,141007E−1;2,315917E−1
5,000000E−1;2,395089E−1;2,201910E−1
5,333333E−1;2,677580E−1;2,069773E−1
5,666667E−1;2,989065E−1;1,920988E−1
6,000000E−1;3,331385E−1;1,763668E−1
6,333333E−1;3,701218E−1;1,595404E−1
6,666667E−1;4,112719E−1;1,470037E−1
7,000000E−1;4,560649E−1;1,388525E−1
7,333333E−1;5,010888E−1;1,349616E−1
7,666667E−1;5,457085E−1;1,351556E−1
8,000000E−1;5,918480E−1;1,384263E−1
8,333333E−1;6,348538E−1;1,436469E−1
8,666667E−1;6,768058E−1;1,498670E−1
9,000000E−1;7,173358E−1;1,567090E−1
9,333333E−1;7,554632E−1;1,635394E−1
9,666667E−1;7,937947E−1;1,698484E−1
1,000000E0;8,299748E−1;1,715747E−1
1,033333E0;8,667369E−1;1,703032E−1
1,066667E0;9,033355E−1;1,661888E−1
1,100000E0;9,412044E−1;1,590554E−1
1,133333E0;9,811845E−1;1,490104E−1
1,166667E0;1,019657E0;1,334271E−1
1,200000E0;1,061443E0;1,141531E−1
1,233333E0;1,105099E0;9,287121E−2
1,266667E0;1,156612E0;7,208841E−2
1,300000E0;1,206824E0;6,038802E−2
1,333333E0;1,263056E0;5,384582E−2
1,366667E0;1,317747E0;4,979240E−2
1,400000E0;1,378417E0;4,672049E−2
1,433333E0;1,432943E0;4,211263E−2
